source	time	person	location	organization	miscellaneous
emptywheel	2014-10-13T00:00:00	tyler durdenQ|mark adomanisQ|shiaQ|bashar al-assadQ|zero hedgeQ|vladimir putinQ|putin	emiratesQ|iranQ|angolaQ|europeQ|ecuadorQ|shia iranQ|nigeriaQ|qatarQ|ξQ|iraqQ|libyaQ|venezuelaQ|russiaQ|ukraineQ|algeriaQ|kuwaitQ|syriaQ|middle east	shahQ|obama administrationQ|isil	saudisQ|saudiQ|asianQ|ukrainian
emptywheel	2014-10-13T00:00:00	ashraf ghani ahmadzai	kobaniQ|iranQ|isisQ|kobaneQ|remarkablyQ|kabulQ|afghanistanQ|afghanistan remarkablyQ|syria	khaama pressQ|islamic state's siegeQ| yankee go homeQ|yankee go homeQ|solidarity party of afghanistanQ|bsaQ|syria sparks protestQ|islamic stateQ|wall street journalQ|bilateral security agreementQ|nato	afghansQ|kurdishQ|islamicQ|afghanQ|us-led
emptywheel	2014-10-11T00:00:00	jacob appelbaumQ|forrest ξQ|christopher tarbellQ|horowitzQ|judge katherineQ|glenn greenwaldQ|joshua horowitzQ|forrestQ|ross ulbrichtQ|tarbellQ|bart gellmanQ|bridgesQ|edward snowdenQ|ulbricht	silk roadQ|icelandQ|districtsQ|tarbell declarationQ|new york	nsaQ|n.Q|bradyQ|government communications headquartersQ|xkeyscoreQ|guardianQ|fbiQ|sr serverQ|data centerQ|greenwich mean timeQ|policy directiveQ|immigrationQ|facebookQ|gmailQ|central intelligence agencyQ|federal bureau of investigationQ|torQ|gchqQ|prismQ|subject ip addressQ|guardian prismQ|southern districtQ|drug enforcement administrationQ|leaked ipQ|customs enforcement homeland security investigationsQ|national security agencyQ|exhibitQ|ipQ|silk road serverQ|title iii penQ|fbi agentQ|tor'Q|as wiredQ|since item	icelandicQ|britishQ|requestQ|serverQ|agent tarbellQ|non-tor
emptywheel	2014-10-11T00:00:00	nick folesQ|bianchiQ|sutilQ|sebastian vettelQ|adrian sutilQ|fernando alonsoQ|julesQ|jules bianchiQ|damon hill	oregonQ|sochiQ|brownsQ|seattleQ|dallasQ|arizonaQ|texasQ|williamsQ|st. louisQ|suzukaQ|san franciscoQ|billsQ|mississippi	auburnQ|royalsQ|bulldogsQ|auburn tigersQ|uscQ|sauberQ|oriolesQ|nlcsQ|lsuQ|bad eliQ| ole miss rebelsQ|mississippi stateQ|kansas city royalsQ|team marussiaQ|steelersQ| boysQ|aryton senna	russian grand prixQ|japanese grand prix
emptywheel	2014-10-10T00:00:00	like obamaQ|malala yousafzaiQ|patrick leahyQ|edward snowden	ukQ|salonQ|europeQ|russiaQ|canadaQ|australiaQ|new zealandQ|norway	usa freedom actQ|nsaQ|peace priceQ|america's five eyes	europeanQ|nobel prizeQ|pakistaniQ|five eyesQ|nsa'sQ|norwegians
emptywheel	2014-10-10T00:00:00	rafiqQ|nawaz sharifQ|arif rafiqQ|john brennanQ|miram shahQ|sharif	pakistanQ|datta khelQ|north waziristan	talibanQ|praising pakistan armyQ|timesQ|operation zarb-e-azbQ|ciaQ|new york times	pakistani
emptywheel	2014-10-09T00:00:00	twitterQ|letterQ|kevin bankstonQ|douglas letterQ|mary murguia	doe	fbiQ|usa freedom actQ|court fbiQ|doj appellateQ|usafQ|federal bureau of investigationQ|effQ|nslQ|fisaQ|doj	circuitQ|nsls
emptywheel	2014-10-07T00:00:00	hammamakQ|thomas erdbrink	tehranQ|changiQ|iranQ|parchin	femaQ|google map of parchinQ|defense industries organizationQ|the timesQ|iranian students' news agencyQ|new york timesQ|bbc	iranian
emptywheel	2014-10-06T00:00:00	paulsonQ|yves smithQ|mickey kantorQ|smithQ|taiya smithQ|david mccormickQ|fannieQ|mccormickQ|hillary clintonQ|lehmanQ|morgan chaseQ|wang qishan	freddieQ|yorba lindaQ|californiaQ|aigQ|singaporeQ|middle eastQ|china	government of singapore investment corporationQ|new york fedQ|ptxQ|ubsQ|joint commissionQ|wall streets'Q|corrected proposed findings of factQ|commerceQ|treasury under secretaryQ|studzinski depQ|goldmanQ|cicQ|chinese investment corporationQ|chryslerQ|blackrockQ|sigtarpQ|aig'sQ|aig'Q|gicQ|senatorQ|treasuryQ|bank of america	middle easternQ|russiansQ|fedQ|japaneseQ|chinese
emptywheel	2014-10-06T00:00:00	dan williamsQ|williams	gazaQ|israelQ|iron dome	reutersQ|new york times	palestinianQ|lebanese
